replicate,dataset,model,utility
5,meld,Qwen3-8B,0.523680649526387
5,meld,gemma-2-9b-it,0.5412719891745602
5,meld,glm-4-9b-chat,0.5466847090663058
6,emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.34210526315789475
6,emorynlp,Fin-R1,0.3253588516746411
6,emorynlp,GLM-Z1-9B-0414,0.3349282296650718
6,emorynlp,Intern-S1-mini,0.32057416267942584
6,emorynlp,Qwen2.5-Coder-7B-Instruct,0.3157894736842105
6,emorynlp,Qwen3-8B,0.34688995215311
6,emorynlp,gemma-2-9b-it,0.3588516746411483
6,emorynlp,glm-4-9b-chat,0.3708133971291866
6,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7383720930232558
6,finqa,Fin-R1,0.7209302325581395
6,finqa,GLM-Z1-9B-0414,0.7238372093023255
6,finqa,Intern-S1-mini,0.7165697674418605
6,finqa,Qwen2.5-Coder-7B-Instruct,0.6438953488372093
6,finqa,Qwen3-8B,0.7558139534883721
6,finqa,gemma-2-9b-it,0.6656976744186046
6,finqa,glm-4-9b-chat,0.5668604651162791
6,humaneval,DeepSeek-R1-0528-Qwen3-8B,0.2857142857142857
6,humaneval,Fin-R1,0.8469387755102041
6,humaneval,GLM-Z1-9B-0414,0.6122448979591837
6,humaneval,Intern-S1-mini,0.4897959183673469
6,humaneval,Qwen2.5-Coder-7B-Instruct,0.8673469387755102
6,humaneval,Qwen3-8B,0.7142857142857143
6,humaneval,gemma-2-9b-it,0.6632653061224489
6,humaneval,glm-4-9b-chat,0.7959183673469388
6,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5706666666666667
6,korbench,Fin-R1,0.31733333333333336
6,korbench,GLM-Z1-9B-0414,0.5413333333333333
6,korbench,Intern-S1-mini,0.596
6,korbench,Qwen2.5-Coder-7B-Instruct,0.3373333333333333
6,korbench,Qwen3-8B,0.524
6,korbench,gemma-2-9b-it,0.332
6,korbench,glm-4-9b-chat,0.37066666666666664
6,math500,DeepSeek-R1-0528-Qwen3-8B,0.9566666666666667
6,math500,Fin-R1,0.76
6,math500,GLM-Z1-9B-0414,0.9733333333333334
6,math500,Intern-S1-mini,0.93
6,math500,Qwen2.5-Coder-7B-Instruct,0.66
6,math500,Qwen3-8B,0.94
6,math500,gemma-2-9b-it,0.48
6,math500,glm-4-9b-chat,0.56
6,mbpp,DeepSeek-R1-0528-Qwen3-8B,0.3544520547945205
6,mbpp,Fin-R1,0.6763698630136986
6,mbpp,GLM-Z1-9B-0414,0.636986301369863
6,mbpp,Intern-S1-mini,0.4623287671232877
6,mbpp,Qwen2.5-Coder-7B-Instruct,0.7722602739726028
6,mbpp,Qwen3-8B,0.541095890410959
6,mbpp,gemma-2-9b-it,0.613013698630137
6,mbpp,glm-4-9b-chat,0.6472602739726028
6,medqa,DeepSeek-R1-0528-Qwen3-8B,0.8206806282722513
6,medqa,Fin-R1,0.6204188481675392
6,medqa,GLM-Z1-9B-0414,0.6897905759162304
6,medqa,Intern-S1-mini,0.7081151832460733
6,medqa,Qwen2.5-Coder-7B-Instruct,0.4698952879581152
6,medqa,Qwen3-8B,0.7801047120418848
6,medqa,gemma-2-9b-it,0.606020942408377
6,medqa,glm-4-9b-chat,0.6007853403141361
6,meld,DeepSeek-R1-0528-Qwen3-8B,0.5385656292286874
6,meld,Fin-R1,0.4790257104194858
6,meld,GLM-Z1-9B-0414,0.5047361299052774
6,meld,Intern-S1-mini,0.530446549391069
6,meld,Qwen2.5-Coder-7B-Instruct,0.510148849797023
6,meld,Qwen3-8B,0.5520974289580515
6,meld,gemma-2-9b-it,0.5385656292286874
6,meld,glm-4-9b-chat,0.5683355886332883
7,emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.41866028708133973
7,emorynlp,Fin-R1,0.34688995215311
7,emorynlp,GLM-Z1-9B-0414,0.3684210526315789
7,emorynlp,Intern-S1-mini,0.35645933014354064
7,emorynlp,Qwen2.5-Coder-7B-Instruct,0.38516746411483255
7,emorynlp,Qwen3-8B,0.4043062200956938
7,emorynlp,gemma-2-9b-it,0.39473684210526316
7,emorynlp,glm-4-9b-chat,0.3923444976076555
7,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7136627906976745
7,finqa,Fin-R1,0.7034883720930233
7,finqa,GLM-Z1-9B-0414,0.684593023255814
