replicate,model,dataset,utility
6,gemma-2-9b-it,finqa,0.6656976744186046
6,gemma-2-9b-it,humaneval,0.6632653061224489
6,gemma-2-9b-it,korbench,0.332
6,gemma-2-9b-it,math500,0.48
6,gemma-2-9b-it,mbpp,0.613013698630137
6,gemma-2-9b-it,medqa,0.606020942408377
6,gemma-2-9b-it,meld,0.5385656292286874
6,glm-4-9b-chat,emorynlp,0.3708133971291866
6,glm-4-9b-chat,finqa,0.5668604651162791
6,glm-4-9b-chat,humaneval,0.7959183673469388
6,glm-4-9b-chat,korbench,0.37066666666666664
6,glm-4-9b-chat,math500,0.56
6,glm-4-9b-chat,mbpp,0.6472602739726028
6,glm-4-9b-chat,medqa,0.6007853403141361
6,glm-4-9b-chat,meld,0.5683355886332883
7,DeepSeek-R1-0528-Qwen3-8B,emorynlp,0.41866028708133973
7,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7136627906976745
7,DeepSeek-R1-0528-Qwen3-8B,humaneval,0.17346938775510204
7,DeepSeek-R1-0528-Qwen3-8B,korbench,0.568
7,DeepSeek-R1-0528-Qwen3-8B,math500,0.96
7,DeepSeek-R1-0528-Qwen3-8B,mbpp,0.3544520547945205
7,DeepSeek-R1-0528-Qwen3-8B,medqa,0.8272251308900523
7,DeepSeek-R1-0528-Qwen3-8B,meld,0.5358592692828146
7,Fin-R1,emorynlp,0.34688995215311
7,Fin-R1,finqa,0.7034883720930233
7,Fin-R1,humaneval,0.7755102040816326
7,Fin-R1,korbench,0.336
7,Fin-R1,math500,0.7766666666666666
7,Fin-R1,mbpp,0.684931506849315
7,Fin-R1,medqa,0.6164921465968587
7,Fin-R1,meld,0.5060893098782138
7,GLM-Z1-9B-0414,emorynlp,0.3684210526315789
7,GLM-Z1-9B-0414,finqa,0.684593023255814
7,GLM-Z1-9B-0414,humaneval,0.7244897959183674
7,GLM-Z1-9B-0414,korbench,0.556
7,GLM-Z1-9B-0414,math500,0.96
7,GLM-Z1-9B-0414,mbpp,0.6181506849315068
7,GLM-Z1-9B-0414,medqa,0.6924083769633508
7,GLM-Z1-9B-0414,meld,0.4654939106901218
7,Intern-S1-mini,emorynlp,0.35645933014354064
7,Intern-S1-mini,finqa,0.7136627906976745
7,Intern-S1-mini,humaneval,0.3979591836734694
7,Intern-S1-mini,korbench,0.6133333333333333
7,Intern-S1-mini,math500,0.9033333333333333
7,Intern-S1-mini,mbpp,0.4383561643835616
7,Intern-S1-mini,medqa,0.6858638743455497
7,Intern-S1-mini,meld,0.5250338294993234
7,Qwen2.5-Coder-7B-Instruct,emorynlp,0.38516746411483255
7,Qwen2.5-Coder-7B-Instruct,finqa,0.6729651162790697
7,Qwen2.5-Coder-7B-Instruct,humaneval,0.7755102040816326
7,Qwen2.5-Coder-7B-Instruct,korbench,0.32133333333333336
7,Qwen2.5-Coder-7B-Instruct,math500,0.6766666666666666
7,Qwen2.5-Coder-7B-Instruct,mbpp,0.7534246575342466
7,Qwen2.5-Coder-7B-Instruct,medqa,0.46596858638743455
7,Qwen2.5-Coder-7B-Instruct,meld,0.5331529093369418
7,Qwen3-8B,emorynlp,0.4043062200956938
7,Qwen3-8B,finqa,0.748546511627907
7,Qwen3-8B,humaneval,0.6836734693877551
7,Qwen3-8B,korbench,0.524
7,Qwen3-8B,math500,0.9433333333333334
7,Qwen3-8B,mbpp,0.5291095890410958
7,Qwen3-8B,medqa,0.7840314136125655
7,Qwen3-8B,meld,0.5588633288227334
7,gemma-2-9b-it,emorynlp,0.39473684210526316
7,gemma-2-9b-it,finqa,0.6497093023255814
7,gemma-2-9b-it,humaneval,0.6632653061224489
7,gemma-2-9b-it,korbench,0.3253333333333333
7,gemma-2-9b-it,math500,0.48
7,gemma-2-9b-it,mbpp,0.5907534246575342
