replicate,task,model
60,humaneval,Qwen2.5-Coder-7B-Instruct
60,math500,GLM-Z1-9B-0414
60,korbench,Intern-S1-mini
60,emorynlp,gemma-2-9b-it
60,mbpp,Fin-R1
60,finqa,Qwen3-8B
61,meld,glm-4-9b-chat
61,medqa,DeepSeek-R1-0528-Qwen3-8B
61,humaneval,Qwen2.5-Coder-7B-Instruct
61,math500,GLM-Z1-9B-0414
61,korbench,Intern-S1-mini
61,emorynlp,gemma-2-9b-it
61,mbpp,Fin-R1
61,finqa,Qwen3-8B
62,meld,glm-4-9b-chat
62,medqa,DeepSeek-R1-0528-Qwen3-8B
62,humaneval,Qwen2.5-Coder-7B-Instruct
62,math500,GLM-Z1-9B-0414
62,korbench,Intern-S1-mini
62,emorynlp,gemma-2-9b-it
62,mbpp,Fin-R1
62,finqa,Qwen3-8B
63,meld,glm-4-9b-chat
63,medqa,DeepSeek-R1-0528-Qwen3-8B
63,math500,Qwen3-8B
63,humaneval,Qwen2.5-Coder-7B-Instruct
63,finqa,Intern-S1-mini
63,korbench,GLM-Z1-9B-0414
63,emorynlp,gemma-2-9b-it
63,mbpp,Fin-R1
64,meld,glm-4-9b-chat
64,medqa,DeepSeek-R1-0528-Qwen3-8B
64,humaneval,Qwen2.5-Coder-7B-Instruct
64,math500,GLM-Z1-9B-0414
64,korbench,Intern-S1-mini
64,emorynlp,gemma-2-9b-it
64,mbpp,Fin-R1
64,finqa,Qwen3-8B
65,meld,glm-4-9b-chat
65,medqa,DeepSeek-R1-0528-Qwen3-8B
65,humaneval,Qwen2.5-Coder-7B-Instruct
65,math500,GLM-Z1-9B-0414
65,korbench,Intern-S1-mini
65,emorynlp,gemma-2-9b-it
65,mbpp,Fin-R1
65,finqa,Qwen3-8B
66,meld,glm-4-9b-chat
66,finqa,Intern-S1-mini
66,mbpp,Qwen2.5-Coder-7B-Instruct
66,math500,DeepSeek-R1-0528-Qwen3-8B
66,korbench,GLM-Z1-9B-0414
66,humaneval,Fin-R1
66,emorynlp,gemma-2-9b-it
66,medqa,Qwen3-8B
67,medqa,Qwen3-8B
67,meld,glm-4-9b-chat
67,humaneval,Qwen2.5-Coder-7B-Instruct
67,finqa,Intern-S1-mini
67,math500,DeepSeek-R1-0528-Qwen3-8B
67,korbench,GLM-Z1-9B-0414
67,emorynlp,gemma-2-9b-it
67,mbpp,Fin-R1
68,meld,glm-4-9b-chat
68,medqa,DeepSeek-R1-0528-Qwen3-8B
68,humaneval,Qwen2.5-Coder-7B-Instruct
68,math500,GLM-Z1-9B-0414
68,korbench,Intern-S1-mini
68,emorynlp,gemma-2-9b-it
68,mbpp,Fin-R1
68,finqa,Qwen3-8B
69,medqa,DeepSeek-R1-0528-Qwen3-8B
69,math500,Qwen3-8B
69,humaneval,Qwen2.5-Coder-7B-Instruct
69,finqa,Intern-S1-mini
69,meld,gemma-2-9b-it
69,emorynlp,glm-4-9b-chat
69,korbench,GLM-Z1-9B-0414
69,mbpp,Fin-R1
70,medqa,DeepSeek-R1-0528-Qwen3-8B
70,humaneval,Qwen2.5-Coder-7B-Instruct
70,meld,gemma-2-9b-it
70,emorynlp,glm-4-9b-chat
70,math500,GLM-Z1-9B-0414
70,korbench,Intern-S1-mini
70,mbpp,Fin-R1
70,finqa,Qwen3-8B
71,finqa,DeepSeek-R1-0528-Qwen3-8B
71,humaneval,Qwen2.5-Coder-7B-Instruct
71,meld,gemma-2-9b-it
71,emorynlp,glm-4-9b-chat
71,math500,GLM-Z1-9B-0414
71,korbench,Intern-S1-mini
71,medqa,Qwen3-8B
71,mbpp,Fin-R1
72,meld,glm-4-9b-chat
72,medqa,DeepSeek-R1-0528-Qwen3-8B
72,math500,Qwen3-8B
72,humaneval,Qwen2.5-Coder-7B-Instruct
72,finqa,Intern-S1-mini
72,korbench,GLM-Z1-9B-0414
72,emorynlp,gemma-2-9b-it
72,mbpp,Fin-R1
73,meld,glm-4-9b-chat
73,medqa,DeepSeek-R1-0528-Qwen3-8B
73,humaneval,Qwen2.5-Coder-7B-Instruct
73,math500,GLM-Z1-9B-0414
73,korbench,Intern-S1-mini
73,emorynlp,gemma-2-9b-it
73,mbpp,Fin-R1
73,finqa,Qwen3-8B
74,medqa,Qwen3-8B
74,meld,glm-4-9b-chat
74,humaneval,Qwen2.5-Coder-7B-Instruct
74,finqa,Intern-S1-mini
74,math500,DeepSeek-R1-0528-Qwen3-8B
74,korbench,GLM-Z1-9B-0414
74,emorynlp,gemma-2-9b-it
74,mbpp,Fin-R1
75,medqa,Qwen3-8B
75,humaneval,Qwen2.5-Coder-7B-Instruct
75,finqa,Intern-S1-mini
75,meld,gemma-2-9b-it
75,emorynlp,glm-4-9b-chat
75,math500,DeepSeek-R1-0528-Qwen3-8B
75,korbench,GLM-Z1-9B-0414
75,mbpp,Fin-R1
76,meld,glm-4-9b-chat
76,medqa,DeepSeek-R1-0528-Qwen3-8B
76,mbpp,Qwen2.5-Coder-7B-Instruct
76,math500,GLM-Z1-9B-0414
76,humaneval,Fin-R1
76,korbench,Intern-S1-mini
76,emorynlp,gemma-2-9b-it
76,finqa,Qwen3-8B
77,medqa,DeepSeek-R1-0528-Qwen3-8B
77,humaneval,Qwen2.5-Coder-7B-Instruct
77,meld,gemma-2-9b-it
77,emorynlp,glm-4-9b-chat
77,math500,GLM-Z1-9B-0414
77,korbench,Intern-S1-mini
77,mbpp,Fin-R1
77,finqa,Qwen3-8B
78,meld,glm-4-9b-chat
78,medqa,DeepSeek-R1-0528-Qwen3-8B
78,humaneval,Qwen2.5-Coder-7B-Instruct
78,math500,GLM-Z1-9B-0414
78,korbench,Intern-S1-mini
78,emorynlp,gemma-2-9b-it
78,mbpp,Fin-R1
78,finqa,Qwen3-8B
79,meld,glm-4-9b-chat
79,medqa,DeepSeek-R1-0528-Qwen3-8B
79,math500,Qwen3-8B
79,humaneval,Qwen2.5-Coder-7B-Instruct
79,finqa,Intern-S1-mini
79,korbench,GLM-Z1-9B-0414
79,emorynlp,gemma-2-9b-it
79,mbpp,Fin-R1
80,meld,glm-4-9b-chat
80,medqa,DeepSeek-R1-0528-Qwen3-8B
80,humaneval,Qwen2.5-Coder-7B-Instruct
80,math500,GLM-Z1-9B-0414
80,korbench,Intern-S1-mini
80,emorynlp,gemma-2-9b-it
80,mbpp,Fin-R1
80,finqa,Qwen3-8B
81,meld,glm-4-9b-chat
81,medqa,DeepSeek-R1-0528-Qwen3-8B
81,humaneval,Qwen2.5-Coder-7B-Instruct
81,math500,GLM-Z1-9B-0414
81,korbench,Intern-S1-mini
81,emorynlp,gemma-2-9b-it
81,mbpp,Fin-R1
81,finqa,Qwen3-8B
82,meld,glm-4-9b-chat
82,medqa,DeepSeek-R1-0528-Qwen3-8B
82,humaneval,Qwen2.5-Coder-7B-Instruct
82,math500,GLM-Z1-9B-0414
82,korbench,Intern-S1-mini
82,emorynlp,gemma-2-9b-it
82,mbpp,Fin-R1
82,finqa,Qwen3-8B
83,meld,glm-4-9b-chat
83,medqa,DeepSeek-R1-0528-Qwen3-8B
83,humaneval,Qwen2.5-Coder-7B-Instruct
83,math500,GLM-Z1-9B-0414
83,korbench,Intern-S1-mini
83,emorynlp,gemma-2-9b-it
83,mbpp,Fin-R1
83,finqa,Qwen3-8B
84,meld,glm-4-9b-chat
84,medqa,DeepSeek-R1-0528-Qwen3-8B
84,humaneval,Qwen2.5-Coder-7B-Instruct
84,math500,GLM-Z1-9B-0414
84,korbench,Intern-S1-mini
84,emorynlp,gemma-2-9b-it
84,mbpp,Fin-R1
84,finqa,Qwen3-8B
85,meld,glm-4-9b-chat
85,medqa,DeepSeek-R1-0528-Qwen3-8B
85,humaneval,Qwen2.5-Coder-7B-Instruct
85,math500,GLM-Z1-9B-0414
85,korbench,Intern-S1-mini
85,emorynlp,gemma-2-9b-it
85,mbpp,Fin-R1
85,finqa,Qwen3-8B
86,meld,glm-4-9b-chat
86,humaneval,Qwen2.5-Coder-7B-Instruct
86,mbpp,GLM-Z1-9B-0414
86,math500,DeepSeek-R1-0528-Qwen3-8B
86,finqa,Fin-R1
86,korbench,Intern-S1-mini
86,emorynlp,gemma-2-9b-it
86,medqa,Qwen3-8B
87,meld,glm-4-9b-chat
87,medqa,DeepSeek-R1-0528-Qwen3-8B
87,humaneval,Qwen2.5-Coder-7B-Instruct
87,math500,GLM-Z1-9B-0414
87,korbench,Intern-S1-mini
87,emorynlp,gemma-2-9b-it
87,mbpp,Fin-R1
87,finqa,Qwen3-8B
88,meld,glm-4-9b-chat
88,medqa,DeepSeek-R1-0528-Qwen3-8B
88,humaneval,Qwen2.5-Coder-7B-Instruct
88,math500,GLM-Z1-9B-0414
88,korbench,Intern-S1-mini
88,emorynlp,gemma-2-9b-it
88,mbpp,Fin-R1
88,finqa,Qwen3-8B
89,medqa,DeepSeek-R1-0528-Qwen3-8B
89,humaneval,Qwen2.5-Coder-7B-Instruct
89,meld,gemma-2-9b-it
89,emorynlp,glm-4-9b-chat
89,math500,GLM-Z1-9B-0414
89,korbench,Intern-S1-mini
89,mbpp,Fin-R1
89,finqa,Qwen3-8B
90,meld,glm-4-9b-chat
90,medqa,DeepSeek-R1-0528-Qwen3-8B
90,humaneval,Qwen2.5-Coder-7B-Instruct
90,math500,GLM-Z1-9B-0414
90,korbench,Intern-S1-mini
